group,function,value,sample_time_nanos,iteration_count
Tokenization,Nom5FoldIterator,,3567.0,1
Tokenization,Nom5FoldIterator,,3052.0,2
Tokenization,Nom5FoldIterator,,3952.0,3
Tokenization,Nom5FoldIterator,,4939.0,4
Tokenization,Nom5FoldIterator,,6074.0,5
Tokenization,Nom5FoldIterator,,8923.0,6
Tokenization,Nom5FoldIterator,,8618.0,7
Tokenization,Nom5FoldIterator,,9593.0,8
Tokenization,Nom5FoldIterator,,10716.0,9
Tokenization,Nom5FoldIterator,,11814.0,10
Tokenization,Nom5FoldIterator,,20959.0,11
Tokenization,Nom5FoldIterator,,28125.0,12
Tokenization,Nom5FoldIterator,,26134.0,13
Tokenization,Nom5FoldIterator,,25296.0,14
Tokenization,Nom5FoldIterator,,17957.0,15
Tokenization,Nom5FoldIterator,,19396.0,16
Tokenization,Nom5FoldIterator,,30743.0,17
Tokenization,Nom5FoldIterator,,33488.0,18
Tokenization,Nom5FoldIterator,,32152.0,19
Tokenization,Nom5FoldIterator,,34569.0,20
Tokenization,Nom5FoldIterator,,37276.0,21
Tokenization,Nom5FoldIterator,,44305.0,22
Tokenization,Nom5FoldIterator,,41806.0,23
Tokenization,Nom5FoldIterator,,46060.0,24
Tokenization,Nom5FoldIterator,,47979.0,25
Tokenization,Nom5FoldIterator,,47796.0,26
Tokenization,Nom5FoldIterator,,54473.0,27
Tokenization,Nom5FoldIterator,,68171.0,28
Tokenization,Nom5FoldIterator,,59200.0,29
Tokenization,Nom5FoldIterator,,65050.0,30
Tokenization,Nom5FoldIterator,,65947.0,31
Tokenization,Nom5FoldIterator,,61951.0,32
Tokenization,Nom5FoldIterator,,62080.0,33
Tokenization,Nom5FoldIterator,,65330.0,34
Tokenization,Nom5FoldIterator,,67984.0,35
Tokenization,Nom5FoldIterator,,68087.0,36
Tokenization,Nom5FoldIterator,,67957.0,37
Tokenization,Nom5FoldIterator,,64816.0,38
Tokenization,Nom5FoldIterator,,70757.0,39
Tokenization,Nom5FoldIterator,,73941.0,40
Tokenization,Nom5FoldIterator,,75589.0,41
Tokenization,Nom5FoldIterator,,78494.0,42
Tokenization,Nom5FoldIterator,,81032.0,43
Tokenization,Nom5FoldIterator,,95656.0,44
Tokenization,Nom5FoldIterator,,84707.0,45
Tokenization,Nom5FoldIterator,,87322.0,46
Tokenization,Nom5FoldIterator,,91497.0,47
Tokenization,Nom5FoldIterator,,88043.0,48
Tokenization,Nom5FoldIterator,,98217.0,49
Tokenization,Nom5FoldIterator,,97934.0,50
Tokenization,Nom5FoldIterator,,104015.0,51
Tokenization,Nom5FoldIterator,,111549.0,52
Tokenization,Nom5FoldIterator,,70584.0,53
Tokenization,Nom5FoldIterator,,65520.0,54
Tokenization,Nom5FoldIterator,,64121.0,55
Tokenization,Nom5FoldIterator,,69205.0,56
Tokenization,Nom5FoldIterator,,95612.0,57
Tokenization,Nom5FoldIterator,,86831.0,58
Tokenization,Nom5FoldIterator,,71607.0,59
Tokenization,Nom5FoldIterator,,72840.0,60
Tokenization,Nom5FoldIterator,,70204.0,61
Tokenization,Nom5FoldIterator,,72254.0,62
Tokenization,Nom5FoldIterator,,78082.0,63
Tokenization,Nom5FoldIterator,,86611.0,64
Tokenization,Nom5FoldIterator,,76700.0,65
Tokenization,Nom5FoldIterator,,76588.0,66
Tokenization,Nom5FoldIterator,,79050.0,67
Tokenization,Nom5FoldIterator,,119822.0,68
Tokenization,Nom5FoldIterator,,113659.0,69
Tokenization,Nom5FoldIterator,,103965.0,70
Tokenization,Nom5FoldIterator,,101821.0,71
Tokenization,Nom5FoldIterator,,91669.0,72
Tokenization,Nom5FoldIterator,,84445.0,73
Tokenization,Nom5FoldIterator,,85086.0,74
Tokenization,Nom5FoldIterator,,86810.0,75
Tokenization,Nom5FoldIterator,,87274.0,76
Tokenization,Nom5FoldIterator,,147976.0,77
Tokenization,Nom5FoldIterator,,161394.0,78
Tokenization,Nom5FoldIterator,,154710.0,79
Tokenization,Nom5FoldIterator,,162186.0,80
Tokenization,Nom5FoldIterator,,143625.0,81
Tokenization,Nom5FoldIterator,,92397.0,82
Tokenization,Nom5FoldIterator,,101124.0,83
Tokenization,Nom5FoldIterator,,103808.0,84
Tokenization,Nom5FoldIterator,,97406.0,85
Tokenization,Nom5FoldIterator,,97039.0,86
Tokenization,Nom5FoldIterator,,97938.0,87
Tokenization,Nom5FoldIterator,,109022.0,88
Tokenization,Nom5FoldIterator,,99604.0,89
Tokenization,Nom5FoldIterator,,104711.0,90
Tokenization,Nom5FoldIterator,,101911.0,91
Tokenization,Nom5FoldIterator,,112847.0,92
Tokenization,Nom5FoldIterator,,110837.0,93
Tokenization,Nom5FoldIterator,,127650.0,94
Tokenization,Nom5FoldIterator,,111490.0,95
Tokenization,Nom5FoldIterator,,106876.0,96
Tokenization,Nom5FoldIterator,,115745.0,97
Tokenization,Nom5FoldIterator,,109461.0,98
Tokenization,Nom5FoldIterator,,109940.0,99
Tokenization,Nom5FoldIterator,,110861.0,100
Tokenization,Nom5FoldIterator,,111929.0,101
Tokenization,Nom5FoldIterator,,113614.0,102
Tokenization,Nom5FoldIterator,,114852.0,103
Tokenization,Nom5FoldIterator,,115936.0,104
Tokenization,Nom5FoldIterator,,117399.0,105
Tokenization,Nom5FoldIterator,,118409.0,106
Tokenization,Nom5FoldIterator,,118797.0,107
Tokenization,Nom5FoldIterator,,120191.0,108
Tokenization,Nom5FoldIterator,,123587.0,109
Tokenization,Nom5FoldIterator,,122068.0,110
Tokenization,Nom5FoldIterator,,122983.0,111
Tokenization,Nom5FoldIterator,,124131.0,112
Tokenization,Nom5FoldIterator,,125268.0,113
Tokenization,Nom5FoldIterator,,126369.0,114
Tokenization,Nom5FoldIterator,,128276.0,115
Tokenization,Nom5FoldIterator,,128846.0,116
Tokenization,Nom5FoldIterator,,130116.0,117
Tokenization,Nom5FoldIterator,,131082.0,118
Tokenization,Nom5FoldIterator,,132241.0,119
Tokenization,Nom5FoldIterator,,133424.0,120
Tokenization,Nom5FoldIterator,,134370.0,121
Tokenization,Nom5FoldIterator,,135216.0,122
Tokenization,Nom5FoldIterator,,136681.0,123
Tokenization,Nom5FoldIterator,,137532.0,124
Tokenization,Nom5FoldIterator,,138591.0,125
Tokenization,Nom5FoldIterator,,139766.0,126
Tokenization,Nom5FoldIterator,,140919.0,127
Tokenization,Nom5FoldIterator,,153633.0,128
Tokenization,Nom5FoldIterator,,145944.0,129
Tokenization,Nom5FoldIterator,,191838.0,130
Tokenization,Nom5FoldIterator,,162761.0,131
Tokenization,Nom5FoldIterator,,152565.0,132
Tokenization,Nom5FoldIterator,,148441.0,133
Tokenization,Nom5FoldIterator,,148639.0,134
Tokenization,Nom5FoldIterator,,149684.0,135
Tokenization,Nom5FoldIterator,,150692.0,136
Tokenization,Nom5FoldIterator,,151937.0,137
Tokenization,Nom5FoldIterator,,153005.0,138
Tokenization,Nom5FoldIterator,,154200.0,139
Tokenization,Nom5FoldIterator,,155179.0,140
Tokenization,Nom5FoldIterator,,159762.0,141
Tokenization,Nom5FoldIterator,,158075.0,142
Tokenization,Nom5FoldIterator,,159186.0,143
Tokenization,Nom5FoldIterator,,159729.0,144
Tokenization,Nom5FoldIterator,,160816.0,145
Tokenization,Nom5FoldIterator,,162117.0,146
Tokenization,Nom5FoldIterator,,163460.0,147
Tokenization,Nom5FoldIterator,,164348.0,148
Tokenization,Nom5FoldIterator,,165044.0,149
Tokenization,Nom5FoldIterator,,166665.0,150
Tokenization,Nom5FoldIterator,,168192.0,151
Tokenization,Nom5FoldIterator,,171033.0,152
Tokenization,Nom5FoldIterator,,170195.0,153
Tokenization,Nom5FoldIterator,,170975.0,154
Tokenization,Nom5FoldIterator,,172047.0,155
Tokenization,Nom5FoldIterator,,173001.0,156
Tokenization,Nom5FoldIterator,,174364.0,157
Tokenization,Nom5FoldIterator,,175452.0,158
Tokenization,Nom5FoldIterator,,176679.0,159
Tokenization,Nom5FoldIterator,,178752.0,160
Tokenization,Nom5FoldIterator,,182945.0,161
Tokenization,Nom5FoldIterator,,183063.0,162
Tokenization,Nom5FoldIterator,,184402.0,163
Tokenization,Nom5FoldIterator,,185317.0,164
Tokenization,Nom5FoldIterator,,237300.0,165
Tokenization,Nom5FoldIterator,,195692.0,166
Tokenization,Nom5FoldIterator,,230527.0,167
Tokenization,Nom5FoldIterator,,189546.0,168
Tokenization,Nom5FoldIterator,,222479.0,169
Tokenization,Nom5FoldIterator,,277974.0,170
Tokenization,Nom5FoldIterator,,197062.0,171
Tokenization,Nom5FoldIterator,,284718.0,172
Tokenization,Nom5FoldIterator,,197513.0,173
Tokenization,Nom5FoldIterator,,195941.0,174
Tokenization,Nom5FoldIterator,,195157.0,175
Tokenization,Nom5FoldIterator,,196238.0,176
Tokenization,Nom5FoldIterator,,197708.0,177
Tokenization,Nom5FoldIterator,,205727.0,178
Tokenization,Nom5FoldIterator,,200687.0,179
Tokenization,Nom5FoldIterator,,201904.0,180
Tokenization,Nom5FoldIterator,,201753.0,181
Tokenization,Nom5FoldIterator,,202867.0,182
Tokenization,Nom5FoldIterator,,204129.0,183
Tokenization,Nom5FoldIterator,,205362.0,184
Tokenization,Nom5FoldIterator,,206411.0,185
Tokenization,Nom5FoldIterator,,207339.0,186
Tokenization,Nom5FoldIterator,,218913.0,187
Tokenization,Nom5FoldIterator,,227692.0,188
Tokenization,Nom5FoldIterator,,212457.0,189
Tokenization,Nom5FoldIterator,,211627.0,190
Tokenization,Nom5FoldIterator,,212728.0,191
Tokenization,Nom5FoldIterator,,213831.0,192
Tokenization,Nom5FoldIterator,,215296.0,193
Tokenization,Nom5FoldIterator,,216143.0,194
Tokenization,Nom5FoldIterator,,217109.0,195
Tokenization,Nom5FoldIterator,,218293.0,196
Tokenization,Nom5FoldIterator,,219549.0,197
Tokenization,Nom5FoldIterator,,220565.0,198
Tokenization,Nom5FoldIterator,,221519.0,199
Tokenization,Nom5FoldIterator,,222564.0,200
Tokenization,Nom5FoldIterator,,223445.0,201
Tokenization,Nom5FoldIterator,,224611.0,202
Tokenization,Nom5FoldIterator,,226335.0,203
Tokenization,Nom5FoldIterator,,327214.0,204
Tokenization,Nom5FoldIterator,,384984.0,205
Tokenization,Nom5FoldIterator,,392982.0,206
Tokenization,Nom5FoldIterator,,231300.0,207
Tokenization,Nom5FoldIterator,,231115.0,208
Tokenization,Nom5FoldIterator,,232872.0,209
Tokenization,Nom5FoldIterator,,236204.0,210
Tokenization,Nom5FoldIterator,,235235.0,211
