group,function,value,sample_time_nanos,iteration_count
Tokenization,Nom5VecIterator,,4599.0,1
Tokenization,Nom5VecIterator,,5535.0,2
Tokenization,Nom5VecIterator,,6820.0,3
Tokenization,Nom5VecIterator,,5461.0,4
Tokenization,Nom5VecIterator,,6639.0,5
Tokenization,Nom5VecIterator,,10021.0,6
Tokenization,Nom5VecIterator,,9391.0,7
Tokenization,Nom5VecIterator,,10572.0,8
Tokenization,Nom5VecIterator,,11725.0,9
Tokenization,Nom5VecIterator,,12918.0,10
Tokenization,Nom5VecIterator,,14611.0,11
Tokenization,Nom5VecIterator,,15856.0,12
Tokenization,Nom5VecIterator,,17149.0,13
Tokenization,Nom5VecIterator,,18111.0,14
Tokenization,Nom5VecIterator,,30010.0,15
Tokenization,Nom5VecIterator,,21537.0,16
Tokenization,Nom5VecIterator,,23246.0,17
Tokenization,Nom5VecIterator,,23065.0,18
Tokenization,Nom5VecIterator,,48994.0,19
Tokenization,Nom5VecIterator,,56515.0,20
Tokenization,Nom5VecIterator,,42377.0,21
Tokenization,Nom5VecIterator,,49006.0,22
Tokenization,Nom5VecIterator,,51782.0,23
Tokenization,Nom5VecIterator,,64527.0,24
Tokenization,Nom5VecIterator,,55836.0,25
Tokenization,Nom5VecIterator,,49726.0,26
Tokenization,Nom5VecIterator,,36270.0,27
Tokenization,Nom5VecIterator,,35889.0,28
Tokenization,Nom5VecIterator,,36611.0,29
Tokenization,Nom5VecIterator,,58193.0,30
Tokenization,Nom5VecIterator,,52581.0,31
Tokenization,Nom5VecIterator,,46291.0,32
Tokenization,Nom5VecIterator,,41911.0,33
Tokenization,Nom5VecIterator,,51169.0,34
Tokenization,Nom5VecIterator,,54100.0,35
Tokenization,Nom5VecIterator,,45528.0,36
Tokenization,Nom5VecIterator,,46315.0,37
Tokenization,Nom5VecIterator,,47380.0,38
Tokenization,Nom5VecIterator,,48839.0,39
Tokenization,Nom5VecIterator,,49980.0,40
Tokenization,Nom5VecIterator,,51313.0,41
Tokenization,Nom5VecIterator,,53167.0,42
Tokenization,Nom5VecIterator,,53741.0,43
Tokenization,Nom5VecIterator,,55121.0,44
Tokenization,Nom5VecIterator,,56337.0,45
Tokenization,Nom5VecIterator,,57512.0,46
Tokenization,Nom5VecIterator,,58911.0,47
Tokenization,Nom5VecIterator,,59911.0,48
Tokenization,Nom5VecIterator,,61065.0,49
Tokenization,Nom5VecIterator,,62595.0,50
Tokenization,Nom5VecIterator,,63753.0,51
Tokenization,Nom5VecIterator,,65006.0,52
Tokenization,Nom5VecIterator,,66037.0,53
Tokenization,Nom5VecIterator,,67445.0,54
Tokenization,Nom5VecIterator,,68531.0,55
Tokenization,Nom5VecIterator,,69900.0,56
Tokenization,Nom5VecIterator,,71034.0,57
Tokenization,Nom5VecIterator,,72535.0,58
Tokenization,Nom5VecIterator,,115820.0,59
Tokenization,Nom5VecIterator,,119423.0,60
Tokenization,Nom5VecIterator,,110684.0,61
Tokenization,Nom5VecIterator,,82311.0,62
Tokenization,Nom5VecIterator,,80070.0,63
Tokenization,Nom5VecIterator,,80889.0,64
Tokenization,Nom5VecIterator,,81452.0,65
Tokenization,Nom5VecIterator,,82901.0,66
Tokenization,Nom5VecIterator,,84017.0,67
Tokenization,Nom5VecIterator,,85396.0,68
Tokenization,Nom5VecIterator,,86546.0,69
Tokenization,Nom5VecIterator,,87924.0,70
Tokenization,Nom5VecIterator,,88947.0,71
Tokenization,Nom5VecIterator,,90217.0,72
Tokenization,Nom5VecIterator,,91480.0,73
Tokenization,Nom5VecIterator,,93026.0,74
Tokenization,Nom5VecIterator,,93894.0,75
Tokenization,Nom5VecIterator,,95436.0,76
Tokenization,Nom5VecIterator,,96447.0,77
Tokenization,Nom5VecIterator,,97893.0,78
Tokenization,Nom5VecIterator,,98905.0,79
Tokenization,Nom5VecIterator,,100403.0,80
Tokenization,Nom5VecIterator,,102847.0,81
Tokenization,Nom5VecIterator,,104103.0,82
Tokenization,Nom5VecIterator,,105979.0,83
Tokenization,Nom5VecIterator,,105797.0,84
Tokenization,Nom5VecIterator,,107395.0,85
Tokenization,Nom5VecIterator,,108064.0,86
Tokenization,Nom5VecIterator,,109249.0,87
Tokenization,Nom5VecIterator,,110281.0,88
Tokenization,Nom5VecIterator,,111973.0,89
Tokenization,Nom5VecIterator,,113131.0,90
Tokenization,Nom5VecIterator,,115124.0,91
Tokenization,Nom5VecIterator,,139482.0,92
Tokenization,Nom5VecIterator,,117885.0,93
Tokenization,Nom5VecIterator,,119013.0,94
Tokenization,Nom5VecIterator,,120653.0,95
Tokenization,Nom5VecIterator,,181636.0,96
Tokenization,Nom5VecIterator,,122484.0,97
Tokenization,Nom5VecIterator,,122878.0,98
Tokenization,Nom5VecIterator,,124150.0,99
Tokenization,Nom5VecIterator,,125387.0,100
Tokenization,Nom5VecIterator,,126726.0,101
Tokenization,Nom5VecIterator,,178375.0,102
Tokenization,Nom5VecIterator,,130834.0,103
Tokenization,Nom5VecIterator,,130326.0,104
Tokenization,Nom5VecIterator,,166714.0,105
Tokenization,Nom5VecIterator,,133392.0,106
Tokenization,Nom5VecIterator,,133807.0,107
Tokenization,Nom5VecIterator,,135311.0,108
Tokenization,Nom5VecIterator,,136321.0,109
Tokenization,Nom5VecIterator,,137803.0,110
Tokenization,Nom5VecIterator,,161419.0,111
Tokenization,Nom5VecIterator,,183814.0,112
Tokenization,Nom5VecIterator,,142423.0,113
Tokenization,Nom5VecIterator,,145412.0,114
Tokenization,Nom5VecIterator,,143796.0,115
Tokenization,Nom5VecIterator,,145090.0,116
Tokenization,Nom5VecIterator,,146324.0,117
Tokenization,Nom5VecIterator,,147553.0,118
Tokenization,Nom5VecIterator,,148960.0,119
Tokenization,Nom5VecIterator,,149839.0,120
Tokenization,Nom5VecIterator,,151153.0,121
Tokenization,Nom5VecIterator,,155002.0,122
Tokenization,Nom5VecIterator,,154069.0,123
Tokenization,Nom5VecIterator,,155040.0,124
Tokenization,Nom5VecIterator,,156328.0,125
Tokenization,Nom5VecIterator,,157342.0,126
Tokenization,Nom5VecIterator,,158560.0,127
Tokenization,Nom5VecIterator,,164589.0,128
Tokenization,Nom5VecIterator,,192481.0,129
Tokenization,Nom5VecIterator,,176787.0,130
Tokenization,Nom5VecIterator,,248451.0,131
Tokenization,Nom5VecIterator,,171040.0,132
Tokenization,Nom5VecIterator,,178316.0,133
Tokenization,Nom5VecIterator,,198876.0,134
Tokenization,Nom5VecIterator,,173800.0,135
Tokenization,Nom5VecIterator,,171294.0,136
Tokenization,Nom5VecIterator,,172492.0,137
Tokenization,Nom5VecIterator,,173671.0,138
Tokenization,Nom5VecIterator,,175578.0,139
Tokenization,Nom5VecIterator,,177358.0,140
Tokenization,Nom5VecIterator,,177604.0,141
Tokenization,Nom5VecIterator,,290865.0,142
Tokenization,Nom5VecIterator,,181410.0,143
Tokenization,Nom5VecIterator,,181554.0,144
Tokenization,Nom5VecIterator,,184209.0,145
Tokenization,Nom5VecIterator,,183453.0,146
Tokenization,Nom5VecIterator,,183147.0,147
Tokenization,Nom5VecIterator,,184277.0,148
Tokenization,Nom5VecIterator,,185385.0,149
Tokenization,Nom5VecIterator,,188371.0,150
Tokenization,Nom5VecIterator,,189316.0,151
Tokenization,Nom5VecIterator,,188879.0,152
Tokenization,Nom5VecIterator,,189961.0,153
Tokenization,Nom5VecIterator,,191321.0,154
Tokenization,Nom5VecIterator,,193324.0,155
Tokenization,Nom5VecIterator,,194137.0,156
Tokenization,Nom5VecIterator,,194987.0,157
Tokenization,Nom5VecIterator,,196243.0,158
Tokenization,Nom5VecIterator,,200643.0,159
Tokenization,Nom5VecIterator,,198939.0,160
Tokenization,Nom5VecIterator,,207418.0,161
Tokenization,Nom5VecIterator,,203421.0,162
Tokenization,Nom5VecIterator,,204546.0,163
Tokenization,Nom5VecIterator,,206205.0,164
Tokenization,Nom5VecIterator,,243468.0,165
Tokenization,Nom5VecIterator,,210867.0,166
Tokenization,Nom5VecIterator,,209206.0,167
Tokenization,Nom5VecIterator,,209932.0,168
Tokenization,Nom5VecIterator,,211066.0,169
Tokenization,Nom5VecIterator,,212315.0,170
Tokenization,Nom5VecIterator,,213733.0,171
Tokenization,Nom5VecIterator,,215118.0,172
Tokenization,Nom5VecIterator,,216044.0,173
Tokenization,Nom5VecIterator,,217473.0,174
Tokenization,Nom5VecIterator,,218486.0,175
Tokenization,Nom5VecIterator,,219712.0,176
Tokenization,Nom5VecIterator,,221873.0,177
Tokenization,Nom5VecIterator,,227848.0,178
Tokenization,Nom5VecIterator,,278067.0,179
Tokenization,Nom5VecIterator,,228366.0,180
Tokenization,Nom5VecIterator,,227770.0,181
Tokenization,Nom5VecIterator,,228809.0,182
Tokenization,Nom5VecIterator,,229835.0,183
Tokenization,Nom5VecIterator,,231026.0,184
Tokenization,Nom5VecIterator,,232060.0,185
Tokenization,Nom5VecIterator,,300669.0,186
Tokenization,Nom5VecIterator,,394651.0,187
Tokenization,Nom5VecIterator,,332686.0,188
Tokenization,Nom5VecIterator,,239677.0,189
Tokenization,Nom5VecIterator,,244434.0,190
Tokenization,Nom5VecIterator,,240103.0,191
Tokenization,Nom5VecIterator,,242376.0,192
Tokenization,Nom5VecIterator,,295565.0,193
Tokenization,Nom5VecIterator,,438587.0,194
Tokenization,Nom5VecIterator,,392999.0,195
Tokenization,Nom5VecIterator,,253870.0,196
Tokenization,Nom5VecIterator,,263812.0,197
Tokenization,Nom5VecIterator,,253528.0,198
Tokenization,Nom5VecIterator,,331278.0,199
Tokenization,Nom5VecIterator,,379324.0,200
Tokenization,Nom5VecIterator,,256715.0,201
Tokenization,Nom5VecIterator,,260063.0,202
Tokenization,Nom5VecIterator,,255283.0,203
Tokenization,Nom5VecIterator,,261317.0,204
Tokenization,Nom5VecIterator,,257756.0,205
Tokenization,Nom5VecIterator,,478999.0,206
Tokenization,Nom5VecIterator,,332906.0,207
Tokenization,Nom5VecIterator,,263033.0,208
Tokenization,Nom5VecIterator,,262288.0,209
Tokenization,Nom5VecIterator,,266728.0,210
Tokenization,Nom5VecIterator,,267543.0,211
Tokenization,Nom5VecIterator,,265332.0,212
Tokenization,Nom5VecIterator,,273156.0,213
Tokenization,Nom5VecIterator,,272256.0,214
Tokenization,Nom5VecIterator,,386170.0,215
Tokenization,Nom5VecIterator,,309541.0,216
Tokenization,Nom5VecIterator,,308399.0,217
Tokenization,Nom5VecIterator,,435760.0,218
Tokenization,Nom5VecIterator,,618625.0,219
Tokenization,Nom5VecIterator,,474272.0,220
Tokenization,Nom5VecIterator,,470967.0,221
Tokenization,Nom5VecIterator,,465859.0,222
Tokenization,Nom5VecIterator,,384269.0,223
Tokenization,Nom5VecIterator,,304318.0,224
Tokenization,Nom5VecIterator,,284023.0,225
Tokenization,Nom5VecIterator,,329693.0,226
Tokenization,Nom5VecIterator,,335601.0,227
Tokenization,Nom5VecIterator,,341659.0,228
Tokenization,Nom5VecIterator,,313328.0,229
Tokenization,Nom5VecIterator,,428961.0,230
Tokenization,Nom5VecIterator,,424895.0,231
Tokenization,Nom5VecIterator,,294867.0,232
Tokenization,Nom5VecIterator,,379641.0,233
Tokenization,Nom5VecIterator,,356602.0,234
Tokenization,Nom5VecIterator,,433558.0,235
Tokenization,Nom5VecIterator,,356697.0,236
Tokenization,Nom5VecIterator,,300468.0,237
Tokenization,Nom5VecIterator,,299123.0,238
Tokenization,Nom5VecIterator,,300577.0,239
Tokenization,Nom5VecIterator,,302793.0,240
Tokenization,Nom5VecIterator,,303370.0,241
Tokenization,Nom5VecIterator,,325439.0,242
Tokenization,Nom5VecIterator,,313839.0,243
Tokenization,Nom5VecIterator,,334111.0,244
Tokenization,Nom5VecIterator,,360612.0,245
Tokenization,Nom5VecIterator,,310618.0,246
Tokenization,Nom5VecIterator,,308955.0,247
Tokenization,Nom5VecIterator,,310341.0,248
Tokenization,Nom5VecIterator,,393356.0,249
Tokenization,Nom5VecIterator,,348192.0,250
Tokenization,Nom5VecIterator,,394677.0,251
Tokenization,Nom5VecIterator,,318013.0,252
Tokenization,Nom5VecIterator,,325421.0,253
Tokenization,Nom5VecIterator,,527942.0,254
Tokenization,Nom5VecIterator,,325942.0,255
Tokenization,Nom5VecIterator,,374604.0,256
Tokenization,Nom5VecIterator,,411493.0,257
Tokenization,Nom5VecIterator,,423873.0,258
Tokenization,Nom5VecIterator,,355063.0,259
Tokenization,Nom5VecIterator,,325942.0,260
Tokenization,Nom5VecIterator,,339259.0,261
Tokenization,Nom5VecIterator,,405886.0,262
Tokenization,Nom5VecIterator,,426558.0,263
Tokenization,Nom5VecIterator,,350370.0,264
Tokenization,Nom5VecIterator,,546040.0,265
Tokenization,Nom5VecIterator,,424095.0,266
Tokenization,Nom5VecIterator,,336201.0,267
Tokenization,Nom5VecIterator,,336077.0,268
Tokenization,Nom5VecIterator,,396175.0,269
Tokenization,Nom5VecIterator,,536180.0,270
Tokenization,Nom5VecIterator,,440385.0,271
Tokenization,Nom5VecIterator,,351333.0,272
Tokenization,Nom5VecIterator,,479668.0,273
Tokenization,Nom5VecIterator,,500660.0,274
Tokenization,Nom5VecIterator,,348713.0,275
Tokenization,Nom5VecIterator,,347350.0,276
Tokenization,Nom5VecIterator,,366776.0,277
Tokenization,Nom5VecIterator,,350513.0,278
Tokenization,Nom5VecIterator,,348866.0,279
Tokenization,Nom5VecIterator,,349443.0,280
Tokenization,Nom5VecIterator,,351082.0,281
Tokenization,Nom5VecIterator,,352135.0,282
Tokenization,Nom5VecIterator,,395065.0,283
Tokenization,Nom5VecIterator,,357554.0,284
Tokenization,Nom5VecIterator,,357378.0,285
Tokenization,Nom5VecIterator,,358380.0,286
Tokenization,Nom5VecIterator,,362084.0,287
Tokenization,Nom5VecIterator,,385537.0,288
Tokenization,Nom5VecIterator,,362997.0,289
Tokenization,Nom5VecIterator,,425490.0,290
Tokenization,Nom5VecIterator,,367214.0,291
Tokenization,Nom5VecIterator,,407876.0,292
Tokenization,Nom5VecIterator,,377773.0,293
Tokenization,Nom5VecIterator,,378170.0,294
Tokenization,Nom5VecIterator,,373774.0,295
Tokenization,Nom5VecIterator,,384742.0,296
Tokenization,Nom5VecIterator,,515859.0,297
Tokenization,Nom5VecIterator,,503683.0,298
Tokenization,Nom5VecIterator,,386459.0,299
Tokenization,Nom5VecIterator,,573663.0,300
Tokenization,Nom5VecIterator,,443179.0,301
Tokenization,Nom5VecIterator,,377704.0,302
Tokenization,Nom5VecIterator,,442931.0,303
Tokenization,Nom5VecIterator,,481205.0,304
Tokenization,Nom5VecIterator,,420285.0,305
Tokenization,Nom5VecIterator,,450671.0,306
Tokenization,Nom5VecIterator,,530477.0,307
Tokenization,Nom5VecIterator,,682401.0,308
Tokenization,Nom5VecIterator,,512399.0,309
Tokenization,Nom5VecIterator,,390803.0,310
Tokenization,Nom5VecIterator,,401285.0,311
Tokenization,Nom5VecIterator,,392757.0,312
Tokenization,Nom5VecIterator,,393295.0,313
Tokenization,Nom5VecIterator,,394052.0,314
Tokenization,Nom5VecIterator,,394824.0,315
Tokenization,Nom5VecIterator,,472588.0,316
Tokenization,Nom5VecIterator,,398570.0,317
Tokenization,Nom5VecIterator,,399350.0,318
Tokenization,Nom5VecIterator,,403806.0,319
Tokenization,Nom5VecIterator,,402496.0,320
Tokenization,Nom5VecIterator,,412485.0,321
Tokenization,Nom5VecIterator,,410770.0,322
Tokenization,Nom5VecIterator,,451202.0,323
Tokenization,Nom5VecIterator,,412199.0,324
Tokenization,Nom5VecIterator,,512265.0,325
Tokenization,Nom5VecIterator,,428134.0,326
Tokenization,Nom5VecIterator,,411543.0,327
Tokenization,Nom5VecIterator,,413589.0,328
Tokenization,Nom5VecIterator,,413839.0,329
Tokenization,Nom5VecIterator,,413496.0,330
Tokenization,Nom5VecIterator,,416077.0,331
Tokenization,Nom5VecIterator,,416160.0,332
Tokenization,Nom5VecIterator,,417222.0,333
Tokenization,Nom5VecIterator,,420048.0,334
Tokenization,Nom5VecIterator,,543887.0,335
Tokenization,Nom5VecIterator,,546890.0,336
Tokenization,Nom5VecIterator,,642594.0,337
Tokenization,Nom5VecIterator,,429585.0,338
Tokenization,Nom5VecIterator,,515233.0,339
Tokenization,Nom5VecIterator,,701131.0,340
Tokenization,Nom5VecIterator,,463834.0,341
Tokenization,Nom5VecIterator,,429795.0,342
Tokenization,Nom5VecIterator,,430340.0,343
Tokenization,Nom5VecIterator,,432241.0,344
Tokenization,Nom5VecIterator,,436020.0,345
Tokenization,Nom5VecIterator,,433865.0,346
Tokenization,Nom5VecIterator,,464560.0,347
Tokenization,Nom5VecIterator,,436440.0,348
Tokenization,Nom5VecIterator,,438338.0,349
Tokenization,Nom5VecIterator,,438438.0,350
Tokenization,Nom5VecIterator,,439488.0,351
Tokenization,Nom5VecIterator,,440950.0,352
Tokenization,Nom5VecIterator,,444649.0,353
Tokenization,Nom5VecIterator,,443198.0,354
Tokenization,Nom5VecIterator,,445952.0,355
Tokenization,Nom5VecIterator,,448540.0,356
Tokenization,Nom5VecIterator,,449700.0,357
Tokenization,Nom5VecIterator,,450947.0,358
Tokenization,Nom5VecIterator,,452333.0,359
Tokenization,Nom5VecIterator,,454154.0,360
Tokenization,Nom5VecIterator,,507270.0,361
Tokenization,Nom5VecIterator,,564481.0,362
Tokenization,Nom5VecIterator,,491542.0,363
Tokenization,Nom5VecIterator,,463520.0,364
Tokenization,Nom5VecIterator,,460857.0,365
Tokenization,Nom5VecIterator,,461341.0,366
Tokenization,Nom5VecIterator,,462726.0,367
Tokenization,Nom5VecIterator,,466321.0,368
Tokenization,Nom5VecIterator,,464991.0,369
Tokenization,Nom5VecIterator,,466630.0,370
Tokenization,Nom5VecIterator,,508815.0,371
Tokenization,Nom5VecIterator,,471813.0,372
Tokenization,Nom5VecIterator,,472865.0,373
Tokenization,Nom5VecIterator,,577259.0,374
Tokenization,Nom5VecIterator,,522417.0,375
Tokenization,Nom5VecIterator,,475949.0,376
Tokenization,Nom5VecIterator,,473967.0,377
Tokenization,Nom5VecIterator,,474398.0,378
Tokenization,Nom5VecIterator,,475638.0,379
Tokenization,Nom5VecIterator,,480440.0,380
Tokenization,Nom5VecIterator,,478074.0,381
Tokenization,Nom5VecIterator,,479334.0,382
Tokenization,Nom5VecIterator,,480468.0,383
Tokenization,Nom5VecIterator,,481592.0,384
Tokenization,Nom5VecIterator,,503185.0,385
Tokenization,Nom5VecIterator,,484353.0,386
Tokenization,Nom5VecIterator,,487171.0,387
Tokenization,Nom5VecIterator,,485457.0,388
Tokenization,Nom5VecIterator,,513308.0,389
Tokenization,Nom5VecIterator,,491129.0,390
Tokenization,Nom5VecIterator,,502852.0,391
Tokenization,Nom5VecIterator,,494185.0,392
Tokenization,Nom5VecIterator,,494766.0,393
Tokenization,Nom5VecIterator,,495608.0,394
Tokenization,Nom5VecIterator,,497099.0,395
Tokenization,Nom5VecIterator,,498793.0,396
Tokenization,Nom5VecIterator,,499278.0,397
Tokenization,Nom5VecIterator,,500799.0,398
Tokenization,Nom5VecIterator,,514773.0,399
Tokenization,Nom5VecIterator,,501296.0,400
Tokenization,Nom5VecIterator,,501729.0,401
Tokenization,Nom5VecIterator,,503345.0,402
Tokenization,Nom5VecIterator,,507456.0,403
Tokenization,Nom5VecIterator,,590166.0,404
Tokenization,Nom5VecIterator,,513367.0,405
Tokenization,Nom5VecIterator,,564702.0,406
Tokenization,Nom5VecIterator,,526090.0,407
Tokenization,Nom5VecIterator,,514310.0,408
Tokenization,Nom5VecIterator,,515322.0,409
Tokenization,Nom5VecIterator,,516128.0,410
Tokenization,Nom5VecIterator,,561393.0,411
Tokenization,Nom5VecIterator,,518837.0,412
Tokenization,Nom5VecIterator,,527789.0,413
Tokenization,Nom5VecIterator,,521564.0,414
Tokenization,Nom5VecIterator,,518993.0,415
Tokenization,Nom5VecIterator,,520816.0,416
Tokenization,Nom5VecIterator,,521107.0,417
Tokenization,Nom5VecIterator,,522092.0,418
Tokenization,Nom5VecIterator,,537656.0,419
Tokenization,Nom5VecIterator,,525298.0,420
Tokenization,Nom5VecIterator,,526031.0,421
Tokenization,Nom5VecIterator,,527115.0,422
Tokenization,Nom5VecIterator,,528965.0,423
Tokenization,Nom5VecIterator,,530801.0,424
Tokenization,Nom5VecIterator,,548804.0,425
Tokenization,Nom5VecIterator,,560426.0,426
Tokenization,Nom5VecIterator,,537491.0,427
Tokenization,Nom5VecIterator,,534740.0,428
Tokenization,Nom5VecIterator,,535750.0,429
Tokenization,Nom5VecIterator,,540061.0,430
Tokenization,Nom5VecIterator,,538138.0,431
Tokenization,Nom5VecIterator,,571377.0,432
Tokenization,Nom5VecIterator,,557743.0,433
Tokenization,Nom5VecIterator,,547239.0,434
Tokenization,Nom5VecIterator,,552014.0,435
Tokenization,Nom5VecIterator,,597919.0,436
Tokenization,Nom5VecIterator,,651020.0,437
Tokenization,Nom5VecIterator,,554014.0,438
Tokenization,Nom5VecIterator,,553098.0,439
Tokenization,Nom5VecIterator,,553811.0,440
Tokenization,Nom5VecIterator,,555396.0,441
Tokenization,Nom5VecIterator,,555881.0,442
Tokenization,Nom5VecIterator,,557405.0,443
Tokenization,Nom5VecIterator,,558145.0,444
Tokenization,Nom5VecIterator,,612454.0,445
Tokenization,Nom5VecIterator,,562742.0,446
Tokenization,Nom5VecIterator,,560847.0,447
Tokenization,Nom5VecIterator,,561428.0,448
Tokenization,Nom5VecIterator,,562935.0,449
Tokenization,Nom5VecIterator,,563271.0,450
Tokenization,Nom5VecIterator,,568104.0,451
Tokenization,Nom5VecIterator,,582072.0,452
Tokenization,Nom5VecIterator,,567221.0,453
Tokenization,Nom5VecIterator,,568648.0,454
Tokenization,Nom5VecIterator,,572336.0,455
Tokenization,Nom5VecIterator,,571410.0,456
