group,function,value,sample_time_nanos,iteration_count
Tokenization,SingleFindRegexTokenizer,,7282.0,1
Tokenization,SingleFindRegexTokenizer,,3218.0,2
Tokenization,SingleFindRegexTokenizer,,3684.0,3
Tokenization,SingleFindRegexTokenizer,,4549.0,4
Tokenization,SingleFindRegexTokenizer,,5619.0,5
Tokenization,SingleFindRegexTokenizer,,10033.0,6
Tokenization,SingleFindRegexTokenizer,,7999.0,7
Tokenization,SingleFindRegexTokenizer,,8960.0,8
Tokenization,SingleFindRegexTokenizer,,9843.0,9
Tokenization,SingleFindRegexTokenizer,,10930.0,10
Tokenization,SingleFindRegexTokenizer,,12484.0,11
Tokenization,SingleFindRegexTokenizer,,13321.0,12
Tokenization,SingleFindRegexTokenizer,,14355.0,13
Tokenization,SingleFindRegexTokenizer,,15188.0,14
Tokenization,SingleFindRegexTokenizer,,16331.0,15
Tokenization,SingleFindRegexTokenizer,,17432.0,16
Tokenization,SingleFindRegexTokenizer,,19773.0,17
Tokenization,SingleFindRegexTokenizer,,19274.0,18
Tokenization,SingleFindRegexTokenizer,,20378.0,19
Tokenization,SingleFindRegexTokenizer,,21239.0,20
Tokenization,SingleFindRegexTokenizer,,22675.0,21
Tokenization,SingleFindRegexTokenizer,,23413.0,22
Tokenization,SingleFindRegexTokenizer,,24485.0,23
Tokenization,SingleFindRegexTokenizer,,25513.0,24
Tokenization,SingleFindRegexTokenizer,,26691.0,25
Tokenization,SingleFindRegexTokenizer,,27601.0,26
Tokenization,SingleFindRegexTokenizer,,28543.0,27
Tokenization,SingleFindRegexTokenizer,,29563.0,28
Tokenization,SingleFindRegexTokenizer,,30697.0,29
Tokenization,SingleFindRegexTokenizer,,31420.0,30
Tokenization,SingleFindRegexTokenizer,,32654.0,31
Tokenization,SingleFindRegexTokenizer,,33355.0,32
Tokenization,SingleFindRegexTokenizer,,34556.0,33
Tokenization,SingleFindRegexTokenizer,,35601.0,34
Tokenization,SingleFindRegexTokenizer,,36602.0,35
Tokenization,SingleFindRegexTokenizer,,37383.0,36
Tokenization,SingleFindRegexTokenizer,,38539.0,37
Tokenization,SingleFindRegexTokenizer,,39741.0,38
Tokenization,SingleFindRegexTokenizer,,40827.0,39
Tokenization,SingleFindRegexTokenizer,,41849.0,40
Tokenization,SingleFindRegexTokenizer,,42886.0,41
Tokenization,SingleFindRegexTokenizer,,44087.0,42
Tokenization,SingleFindRegexTokenizer,,45203.0,43
Tokenization,SingleFindRegexTokenizer,,46182.0,44
Tokenization,SingleFindRegexTokenizer,,93011.0,45
Tokenization,SingleFindRegexTokenizer,,48267.0,46
Tokenization,SingleFindRegexTokenizer,,49019.0,47
Tokenization,SingleFindRegexTokenizer,,50008.0,48
Tokenization,SingleFindRegexTokenizer,,50867.0,49
