group,function,value,sample_time_nanos,iteration_count
Tokenization,SingleInlineIterator,,1500.0,1
Tokenization,SingleInlineIterator,,1308.0,2
Tokenization,SingleInlineIterator,,1472.0,3
Tokenization,SingleInlineIterator,,1757.0,4
Tokenization,SingleInlineIterator,,1957.0,5
Tokenization,SingleInlineIterator,,4152.0,6
Tokenization,SingleInlineIterator,,2950.0,7
Tokenization,SingleInlineIterator,,3063.0,8
Tokenization,SingleInlineIterator,,3263.0,9
Tokenization,SingleInlineIterator,,3710.0,10
Tokenization,SingleInlineIterator,,4404.0,11
Tokenization,SingleInlineIterator,,4690.0,12
Tokenization,SingleInlineIterator,,5000.0,13
Tokenization,SingleInlineIterator,,5190.0,14
Tokenization,SingleInlineIterator,,5414.0,15
Tokenization,SingleInlineIterator,,5886.0,16
Tokenization,SingleInlineIterator,,6234.0,17
Tokenization,SingleInlineIterator,,6507.0,18
Tokenization,SingleInlineIterator,,6763.0,19
Tokenization,SingleInlineIterator,,7216.0,20
Tokenization,SingleInlineIterator,,7554.0,21
Tokenization,SingleInlineIterator,,8146.0,22
Tokenization,SingleInlineIterator,,8294.0,23
Tokenization,SingleInlineIterator,,8683.0,24
Tokenization,SingleInlineIterator,,8816.0,25
Tokenization,SingleInlineIterator,,9227.0,26
Tokenization,SingleInlineIterator,,9509.0,27
Tokenization,SingleInlineIterator,,9740.0,28
Tokenization,SingleInlineIterator,,9937.0,29
Tokenization,SingleInlineIterator,,10651.0,30
Tokenization,SingleInlineIterator,,10843.0,31
Tokenization,SingleInlineIterator,,11205.0,32
Tokenization,SingleInlineIterator,,11597.0,33
Tokenization,SingleInlineIterator,,11896.0,34
Tokenization,SingleInlineIterator,,12115.0,35
Tokenization,SingleInlineIterator,,12736.0,36
Tokenization,SingleInlineIterator,,12583.0,37
Tokenization,SingleInlineIterator,,13152.0,38
Tokenization,SingleInlineIterator,,14554.0,39
Tokenization,SingleInlineIterator,,13759.0,40
Tokenization,SingleInlineIterator,,14168.0,41
Tokenization,SingleInlineIterator,,14705.0,42
Tokenization,SingleInlineIterator,,14284.0,43
Tokenization,SingleInlineIterator,,15236.0,44
Tokenization,SingleInlineIterator,,15333.0,45
Tokenization,SingleInlineIterator,,15854.0,46
Tokenization,SingleInlineIterator,,16005.0,47
Tokenization,SingleInlineIterator,,16340.0,48
Tokenization,SingleInlineIterator,,17029.0,49
Tokenization,SingleInlineIterator,,17287.0,50
Tokenization,SingleInlineIterator,,17358.0,51
Tokenization,SingleInlineIterator,,17826.0,52
Tokenization,SingleInlineIterator,,17576.0,53
Tokenization,SingleInlineIterator,,18145.0,54
Tokenization,SingleInlineIterator,,18712.0,55
Tokenization,SingleInlineIterator,,19077.0,56
Tokenization,SingleInlineIterator,,19365.0,57
Tokenization,SingleInlineIterator,,19592.0,58
Tokenization,SingleInlineIterator,,19868.0,59
Tokenization,SingleInlineIterator,,21426.0,60
Tokenization,SingleInlineIterator,,21692.0,61
Tokenization,SingleInlineIterator,,21196.0,62
Tokenization,SingleInlineIterator,,21981.0,63
Tokenization,SingleInlineIterator,,22457.0,64
Tokenization,SingleInlineIterator,,22727.0,65
Tokenization,SingleInlineIterator,,22734.0,66
Tokenization,SingleInlineIterator,,22270.0,67
Tokenization,SingleInlineIterator,,23776.0,68
Tokenization,SingleInlineIterator,,24299.0,69
Tokenization,SingleInlineIterator,,24557.0,70
Tokenization,SingleInlineIterator,,29353.0,71
Tokenization,SingleInlineIterator,,34468.0,72
Tokenization,SingleInlineIterator,,26458.0,73
Tokenization,SingleInlineIterator,,29650.0,74
Tokenization,SingleInlineIterator,,25735.0,75
Tokenization,SingleInlineIterator,,28612.0,76
Tokenization,SingleInlineIterator,,25943.0,77
Tokenization,SingleInlineIterator,,35980.0,78
Tokenization,SingleInlineIterator,,33083.0,79
Tokenization,SingleInlineIterator,,38458.0,80
Tokenization,SingleInlineIterator,,28489.0,81
Tokenization,SingleInlineIterator,,28633.0,82
Tokenization,SingleInlineIterator,,28139.0,83
Tokenization,SingleInlineIterator,,28368.0,84
Tokenization,SingleInlineIterator,,28116.0,85
Tokenization,SingleInlineIterator,,28733.0,86
Tokenization,SingleInlineIterator,,29020.0,87
Tokenization,SingleInlineIterator,,29480.0,88
Tokenization,SingleInlineIterator,,50534.0,89
Tokenization,SingleInlineIterator,,52336.0,90
Tokenization,SingleInlineIterator,,32535.0,91
