group,function,value,sample_time_nanos,iteration_count
Tokenization,SingleIterator,,1402.0,1
Tokenization,SingleIterator,,1825.0,2
Tokenization,SingleIterator,,2101.0,3
Tokenization,SingleIterator,,2911.0,4
Tokenization,SingleIterator,,2980.0,5
Tokenization,SingleIterator,,5816.0,6
Tokenization,SingleIterator,,4327.0,7
Tokenization,SingleIterator,,5629.0,8
Tokenization,SingleIterator,,6004.0,9
Tokenization,SingleIterator,,6630.0,10
Tokenization,SingleIterator,,17946.0,11
Tokenization,SingleIterator,,14796.0,12
Tokenization,SingleIterator,,15546.0,13
Tokenization,SingleIterator,,17719.0,14
Tokenization,SingleIterator,,16202.0,15
Tokenization,SingleIterator,,15757.0,16
Tokenization,SingleIterator,,17548.0,17
Tokenization,SingleIterator,,14375.0,18
Tokenization,SingleIterator,,12111.0,19
Tokenization,SingleIterator,,12829.0,20
Tokenization,SingleIterator,,13269.0,21
Tokenization,SingleIterator,,14306.0,22
Tokenization,SingleIterator,,13967.0,23
Tokenization,SingleIterator,,15028.0,24
Tokenization,SingleIterator,,15230.0,25
Tokenization,SingleIterator,,15992.0,26
Tokenization,SingleIterator,,16487.0,27
Tokenization,SingleIterator,,16811.0,28
Tokenization,SingleIterator,,17015.0,29
Tokenization,SingleIterator,,12941.0,30
Tokenization,SingleIterator,,9927.0,31
Tokenization,SingleIterator,,10148.0,32
Tokenization,SingleIterator,,10370.0,33
Tokenization,SingleIterator,,10602.0,34
Tokenization,SingleIterator,,10955.0,35
Tokenization,SingleIterator,,11194.0,36
Tokenization,SingleIterator,,11598.0,37
Tokenization,SingleIterator,,11813.0,38
Tokenization,SingleIterator,,12121.0,39
Tokenization,SingleIterator,,12426.0,40
Tokenization,SingleIterator,,12768.0,41
Tokenization,SingleIterator,,13078.0,42
Tokenization,SingleIterator,,13434.0,43
Tokenization,SingleIterator,,13654.0,44
Tokenization,SingleIterator,,14035.0,45
Tokenization,SingleIterator,,14286.0,46
Tokenization,SingleIterator,,14482.0,47
Tokenization,SingleIterator,,14400.0,48
Tokenization,SingleIterator,,19888.0,49
Tokenization,SingleIterator,,15313.0,50
Tokenization,SingleIterator,,15971.0,51
Tokenization,SingleIterator,,16063.0,52
Tokenization,SingleIterator,,16220.0,53
Tokenization,SingleIterator,,16514.0,54
Tokenization,SingleIterator,,16812.0,55
Tokenization,SingleIterator,,17528.0,56
Tokenization,SingleIterator,,17382.0,57
Tokenization,SingleIterator,,17696.0,58
Tokenization,SingleIterator,,18146.0,59
Tokenization,SingleIterator,,18365.0,60
Tokenization,SingleIterator,,19097.0,61
Tokenization,SingleIterator,,18868.0,62
Tokenization,SingleIterator,,19251.0,63
Tokenization,SingleIterator,,20060.0,64
Tokenization,SingleIterator,,19860.0,65
Tokenization,SingleIterator,,20055.0,66
Tokenization,SingleIterator,,20268.0,67
Tokenization,SingleIterator,,20522.0,68
Tokenization,SingleIterator,,21154.0,69
Tokenization,SingleIterator,,21540.0,70
Tokenization,SingleIterator,,22239.0,71
Tokenization,SingleIterator,,21821.0,72
Tokenization,SingleIterator,,21958.0,73
Tokenization,SingleIterator,,22349.0,74
Tokenization,SingleIterator,,22849.0,75
Tokenization,SingleIterator,,23042.0,76
Tokenization,SingleIterator,,23137.0,77
Tokenization,SingleIterator,,23514.0,78
Tokenization,SingleIterator,,23800.0,79
Tokenization,SingleIterator,,23974.0,80
Tokenization,SingleIterator,,24448.0,81
Tokenization,SingleIterator,,25242.0,82
Tokenization,SingleIterator,,37161.0,83
Tokenization,SingleIterator,,31150.0,84
Tokenization,SingleIterator,,25813.0,85
Tokenization,SingleIterator,,26525.0,86
Tokenization,SingleIterator,,26655.0,87
Tokenization,SingleIterator,,26911.0,88
Tokenization,SingleIterator,,26808.0,89
Tokenization,SingleIterator,,27658.0,90
Tokenization,SingleIterator,,27884.0,91
Tokenization,SingleIterator,,28065.0,92
Tokenization,SingleIterator,,28371.0,93
Tokenization,SingleIterator,,28458.0,94
Tokenization,SingleIterator,,29018.0,95
Tokenization,SingleIterator,,29206.0,96
Tokenization,SingleIterator,,29296.0,97
Tokenization,SingleIterator,,29809.0,98
Tokenization,SingleIterator,,29978.0,99
Tokenization,SingleIterator,,30094.0,100
Tokenization,SingleIterator,,30510.0,101
Tokenization,SingleIterator,,31183.0,102
Tokenization,SingleIterator,,31455.0,103
Tokenization,SingleIterator,,31481.0,104
Tokenization,SingleIterator,,31832.0,105
Tokenization,SingleIterator,,32207.0,106
Tokenization,SingleIterator,,32312.0,107
Tokenization,SingleIterator,,32499.0,108
Tokenization,SingleIterator,,33048.0,109
Tokenization,SingleIterator,,32979.0,110
Tokenization,SingleIterator,,33414.0,111
Tokenization,SingleIterator,,34074.0,112
Tokenization,SingleIterator,,34060.0,113
Tokenization,SingleIterator,,34408.0,114
Tokenization,SingleIterator,,34764.0,115
Tokenization,SingleIterator,,34835.0,116
Tokenization,SingleIterator,,35241.0,117
Tokenization,SingleIterator,,35490.0,118
Tokenization,SingleIterator,,35928.0,119
Tokenization,SingleIterator,,36418.0,120
Tokenization,SingleIterator,,36757.0,121
Tokenization,SingleIterator,,36642.0,122
Tokenization,SingleIterator,,36881.0,123
Tokenization,SingleIterator,,37302.0,124
Tokenization,SingleIterator,,37537.0,125
Tokenization,SingleIterator,,38116.0,126
Tokenization,SingleIterator,,38227.0,127
Tokenization,SingleIterator,,38737.0,128
Tokenization,SingleIterator,,43560.0,129
Tokenization,SingleIterator,,44511.0,130
Tokenization,SingleIterator,,46776.0,131
Tokenization,SingleIterator,,42317.0,132
Tokenization,SingleIterator,,43945.0,133
Tokenization,SingleIterator,,39695.0,134
Tokenization,SingleIterator,,40227.0,135
Tokenization,SingleIterator,,40359.0,136
Tokenization,SingleIterator,,41211.0,137
Tokenization,SingleIterator,,41003.0,138
Tokenization,SingleIterator,,41213.0,139
Tokenization,SingleIterator,,41897.0,140
Tokenization,SingleIterator,,44701.0,141
Tokenization,SingleIterator,,41950.0,142
Tokenization,SingleIterator,,42862.0,143
Tokenization,SingleIterator,,42918.0,144
Tokenization,SingleIterator,,43033.0,145
Tokenization,SingleIterator,,44382.0,146
Tokenization,SingleIterator,,43810.0,147
Tokenization,SingleIterator,,43731.0,148
Tokenization,SingleIterator,,44048.0,149
Tokenization,SingleIterator,,44608.0,150
